A10YQTSBFQPKS3,,Mikael Tillstrom ( Sweden ) beat 2 - Goran Ivanisevic ( Croatia ),"[""Goran Ivanisevic"" ""Sweden""]",2014-08-25T23:28:52.684Z,0374427fda8b64f189cecbd2ef03826f
A10YQTSBFQPKS3,,Patrick Rafter ( Australia ) beat 11 - Alberto Berasategui,"[""Alberto Berasategui"" ""Australia""]",2014-08-25T23:28:52.094Z,0374427fda8b64f189cecbd2ef040e32
A10YQTSBFQPKS3,has nationality,8 - Nathalie Tauziat ( France ) beat Shi-Ting Wang ( Taiwan ) 6-4,"[""Nathalie Tauziat"" ""France""]",2014-08-25T23:28:44.179Z,0374427fda8b64f189cecbd2ef03019f
A10YQTSBFQPKS3,has nationality,Daniel Nestor ( Canada ) beat 1 - Thomas Muster ( Austria ) 6-3 7-5,"[""Daniel Nestor"" ""Austria""]",2014-08-25T23:28:38.208Z,0374427fda8b64f189cecbd2ef037d4c
A111JI6APXR6QV,,"A Florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" Ai n't no telling "" , which Hendrix penned on a piece of London hotel stationery in late 1966 .","[""Hendrix"" ""London""]",2014-08-19T01:12:16.698Z,0374427fda8b64f189cecbd2ef001e89
A111JI6APXR6QV,has nationality,"The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .","[""Costas Simitis"" ""Greek""]",2014-08-19T01:12:04.194Z,0374427fda8b64f189cecbd2ef0059a7
A111JI6APXR6QV,has nationality,""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , "" Israeli Foreign Minister David Levy told Israel Radio in an interview .","[""Assad"" ""Syrian""]",2014-08-19T01:11:55.723Z,0374427fda8b64f189cecbd2ef0086a1
A111JI6APXR6QV,lived in,"A rare early handwritten draft of a song by U.S. guitar legend Jimi Hendrix was sold for almost $ 17,000 on Thursday at an auction of some of the late musician 's favourite possessions .","[""Jimi Hendrix"" ""U.S.""]",2014-08-19T01:11:48.870Z,0374427fda8b64f189cecbd2ef001194
A111JI6APXR6QV,has nationality,"The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .","[""Costas Skandalidis"" ""Greek""]",2014-08-19T01:11:24.809Z,0374427fda8b64f189cecbd2ef0065e2
A111JI6APXR6QV,,"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . ""","[""Shen Guofang"" ""Taiwan""]",2014-08-19T01:10:52.557Z,0374427fda8b64f189cecbd2ef004773
A111JI6APXR6QV,has nationality,China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,"[""Lien Chan"" ""Taiwanese""]",2014-08-19T01:10:25.188Z,0374427fda8b64f189cecbd2ef002ea9
A111JI6APXR6QV,has nationality,Germany 's representative to the European Union 's veterinary committee Werner Zwingmann said on Wednesday consumers should buy sheepmeat from countries other than Britain until the scientific advice was clearer .,"[""Werner Zwingmann"" ""Germany""]",2014-08-19T01:10:03.257Z,0374427fda8b64f189cecbd2ef000ce4
A111JI6APXR6QV,has nationality,""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , "" Israeli Foreign Minister David Levy told Israel Radio in an interview .","[""David Levy"" ""Israeli""]",2014-08-19T01:09:21.175Z,0374427fda8b64f189cecbd2ef00a0a2
A111JI6APXR6QV,has nationality,""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , "" Israeli Foreign Minister David Levy told Israel Radio in an interview .","[""Hafez al-"" ""Syrian""]",2014-08-19T01:09:02.273Z,0374427fda8b64f189cecbd2ef007213
A199PKW9OWJOQV,lived in & has nationality,""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , "" Israeli Foreign Minister David Levy told Israel Radio in an interview .","[""Assad"" ""Syrian""]",2014-08-19T06:26:47.652Z,0374427fda8b64f189cecbd2ef0086a1
A199PKW9OWJOQV,has nationality,""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , "" Israeli Foreign Minister David Levy told Israel Radio in an interview .","[""David Levy"" ""Israeli""]",2014-08-19T06:26:07.356Z,0374427fda8b64f189cecbd2ef00a0a2
A199PKW9OWJOQV,has nationality,"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . ""","[""Shen Guofang"" ""Chinese""]",2014-08-19T06:25:47.753Z,0374427fda8b64f189cecbd2ef003cc2
